# Zapfdingbats glyph-name table
# Format:AGL compatible
# (1) 4 uppercase hexadecimal unicode value
# (2) Glyph name
# (3) Unicode character name (optional)
# *All field should be separated by ";"
0020;space;SPACE
2701;a1;UPPER BLADE SCISSORS
2702;a2;BLACK SCISSORS
2703;a202;LOWER BLADE SCISSORS
2704;a3;WHITE SCISSORS
260E;a4;BLACK TELEPHONE
2706;a5;TELEPHONE LOCATION SIGN
2707;a119;TAPE DRIVE
2708;a118;AIRPLANE
2709;a117;ENVELOPE
261B;a11;BLACK RIGHT POINTING INDEX
261E;a12;WHITE RIGHT POINTING INDEX
270C;a13;VICTORY HAND
270D;a14;WRITING HAND
270E;a15;LOWER RIGHT PENCIL
270F;a16;PENCIL
2710;a105;UPPER RIGHT PENCIL
2711;a17;WHITE NIB
2712;a18;BLACK NIB
2713;a19;CHECK MARK
2714;a20;HEAVY CHECK MARK
2715;a21;MULTIPLICATION X
2716;a22;HEAVY MULTIPLICATION X
2717;a23;BALLOT X
2718;a24;HEAVY BALLOT X
2719;a25;OUTLINED GREEK CROSS
271A;a26;HEAVY GREEK CROSS
271B;a27;OPEN CENTRE CROSS
271C;a28;HEAVY OPEN CENTRE CROSS
271D;a6;LATIN CROSS
271E;a7;SHADOWED WHITE LATIN CROSS
271F;a8;OUTLINED LATIN CROSS
2720;a9;MALTESE CROSS
2721;a10;STAR OF DAVID
2722;a29;FOUR TEARDROP-SPOKED ASTERISK
2723;a30;FOUR BALLOON-SPOKED ASTERISK
2724;a31;HEAVY FOUR BALLOON-SPOKED ASTERISK
2725;a32;FOUR CLUB-SPOKED ASTERISK
2726;a33;BLACK FOUR POINTED STAR
2727;a34;WHITE FOUR POINTED STAR
2605;a35;BLACK STAR
2729;a36;STRESS OUTLINED WHITE STAR
272A;a37;CIRCLED WHITE STAR
272B;a38;OPEN CENTRE BLACK STAR
272C;a39;BLACK CENTRE WHITE STAR
272D;a40;OUTLINED BLACK STAR
272E;a41;HEAVY OUTLINED BLACK STAR
272F;a42;PINWHEEL STAR
2730;a43;SHADOWED WHITE STAR
2731;a44;HEAVY ASTERISK
2732;a45;OPEN CENTRE ASTERISK
2733;a46;EIGHT SPOKED ASTERISK
2734;a47;EIGHT POINTED BLACK STAR
2735;a48;EIGHT POINTED PINWHEEL STAR
2736;a49;SIX POINTED BLACK STAR
2737;a50;EIGHT POINTED RECTILINEAR BLACK STAR
2738;a51;HEAVY EIGHT POINTED RECTILINEAR BLACK STAR
2739;a52;TWELVE POINTED BLACK STAR
273A;a53;SIXTEEN POINTED ASTERISK
273B;a54;TEARDROP-SPOKED ASTERISK
273C;a55;OPEN CENTRE TEARDROP-SPOKED ASTERISK
273D;a56;HEAVY TEARDROP-SPOKED ASTERISK
273E;a57;SIX PETALLED BLACK AND WHITE FLORETTE
273F;a58;BLACK FLORETTE
2740;a59;WHITE FLORETTE
2741;a60;EIGHT PETALLED OUTLINED BLACK FLORETTE
2742;a61;CIRCLED OPEN CENTRE EIGHT POINTED STAR
2743;a62;HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK
2744;a63;SNOWFLAKE
2745;a64;TIGHT TRIFOLIATE SNOWFLAKE
2746;a65;HEAVY CHEVRON SNOWFLAKE
2747;a66;SPARKLE
2748;a67;HEAVY SPARKLE
2749;a68;BALLOON-SPOKED ASTERISK
274A;a69;EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
274B;a70;HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
25CF;a71;BLACK CIRCLE
274D;a72;SHADOWED WHITE CIRCLE
25A0;a73;BLACK SQUARE
274F;a74;LOWER RIGHT DROP-SHADOWED WHITE SQUARE
2750;a203;UPPER RIGHT DROP-SHADOWED WHITE SQUARE
2751;a75;LOWER RIGHT SHADOWED WHITE SQUARE
2752;a204;UPPER RIGHT SHADOWED WHITE SQUARE
25B2;a76;BLACK UP-POINTING TRIANGLE
25BC;a77;BLACK DOWN-POINTING TRIANGLE
25C6;a78;BLACK DIAMOND
2756;a79;BLACK DIAMOND MINUS WHITE X
25D7;a81;RIGHT HALF BLACK CIRCLE
2758;a82;LIGHT VERTICAL BAR
2759;a83;MEDIUM VERTICAL BAR
275A;a84;HEAVY VERTICAL BAR
275B;a97;HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT
275C;a98;HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT
275D;a99;HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT
275E;a100;HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
F8D7;a89;MEDIUM LEFT PARENTHESIS ORNAMENT
F8D8;a90;MEDIUM RIGHT PARENTHESIS ORNAMENT
F8D9;a93;MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT
F8DA;a94;MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT
F8DB;a91;MEDIUM LEFT-POINTING ANGLE BRACKET ORNAMENT
F8DC;a92;MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT
F8DD;a205;HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT
F8DE;a85;HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT
F8DF;a206;HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT
F8E0;a86;HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT
F8E1;a87;LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
F8E2;a88;LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
F8E3;a95;MEDIUM LEFT CURLY BRACKET ORNAMENT
F8E4;a96;MEDIUM RIGHT CURLY BRACKET ORNAMENT
2761;a101;CURVED STEM PARAGRAPH SIGN ORNAMENT
2762;a102;HEAVY EXCLAMATION MARK ORNAMENT
2763;a103;HEAVY HEART EXCLAMATION MARK ORNAMENT
2764;a104;HEAVY BLACK HEART
2765;a106;ROTATED HEAVY BLACK HEART BULLET
2766;a107;FLORAL HEART
2767;a108;ROTATED FLORAL HEART BULLET
2663;a112;BLACK CLUB SUIT
2666;a111;BLACK DIAMOND SUIT
2665;a110;BLACK HEART SUIT
2660;a109;BLACK SPADE SUIT
2460;a120;CIRCLED DIGIT ONE
2461;a121;CIRCLED DIGIT TWO
2462;a122;CIRCLED DIGIT THREE
2463;a123;CIRCLED DIGIT FOUR
2464;a124;CIRCLED DIGIT FIVE
2465;a125;CIRCLED DIGIT SIX
2466;a126;CIRCLED DIGIT SEVEN
2467;a127;CIRCLED DIGIT EIGHT
2468;a128;CIRCLED DIGIT NINE
2469;a129;CIRCLED NUMBER TEN
2776;a130;DINGBAT NEGATIVE CIRCLED DIGIT ONE
2777;a131;DINGBAT NEGATIVE CIRCLED DIGIT TWO
2778;a132;DINGBAT NEGATIVE CIRCLED DIGIT THREE
2779;a133;DINGBAT NEGATIVE CIRCLED DIGIT FOUR
277A;a134;DINGBAT NEGATIVE CIRCLED DIGIT FIVE
277B;a135;DINGBAT NEGATIVE CIRCLED DIGIT SIX
277C;a136;DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
277D;a137;DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
277E;a138;DINGBAT NEGATIVE CIRCLED DIGIT NINE
277F;a139;DINGBAT NEGATIVE CIRCLED NUMBER TEN
2780;a140;DINGBAT CIRCLED SANS-SERIF DIGIT ONE
2781;a141;DINGBAT CIRCLED SANS-SERIF DIGIT TWO
2782;a142;DINGBAT CIRCLED SANS-SERIF DIGIT THREE
2783;a143;DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
2784;a144;DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
2785;a145;DINGBAT CIRCLED SANS-SERIF DIGIT SIX
2786;a146;DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
2787;a147;DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
2788;a148;DINGBAT CIRCLED SANS-SERIF DIGIT NINE
2789;a149;DINGBAT CIRCLED SANS-SERIF NUMBER TEN
278A;a150;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
278B;a151;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
278C;a152;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
278D;a153;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
278E;a154;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
278F;a155;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
2790;a156;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
2791;a157;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT
2792;a158;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE
2793;a159;DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
2794;a160;HEAVY WIDE-HEADED RIGHTWARDS ARROW
2192;a161;RIGHTWARDS ARROW
2194;a163;LEFT RIGHT ARROW
2195;a164;UP DOWN ARROW
2798;a196;HEAVY SOUTH EAST ARROW
2799;a165;HEAVY RIGHTWARDS ARROW
279A;a192;HEAVY NORTH EAST ARROW
279B;a166;DRAFTING POINT RIGHTWARDS ARROW
279C;a167;HEAVY ROUND-TIPPED RIGHTWARDS ARROW
279D;a168;TRIANGLE-HEADED RIGHTWARDS ARROW
279E;a169;HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW
279F;a170;DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
27A0;a171;HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
27A1;a172;BLACK RIGHTWARDS ARROW
27A2;a173;THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD
27A3;a162;THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD
27A4;a174;BLACK RIGHTWARDS ARROWHEAD
27A5;a175;HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW
27A6;a176;HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW
27A7;a177;SQUAT BLACK RIGHTWARDS ARROW
27A8;a178;HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW
27A9;a179;RIGHT-SHADED WHITE RIGHTWARDS ARROW
27AA;a193;LEFT-SHADED WHITE RIGHTWARDS ARROW
27AB;a180;BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW
27AC;a199;FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW
27AD;a181;HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27AE;a200;HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27AF;a182;NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B1;a201;NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B2;a183;CIRCLED HEAVY WHITE RIGHTWARDS ARROW
27B3;a184;WHITE-FEATHERED RIGHTWARDS ARROW
27B4;a197;BLACK-FEATHERED SOUTH EAST ARROW
27B5;a185;BLACK-FEATHERED RIGHTWARDS ARROW
27B6;a194;BLACK-FEATHERED NORTH EAST ARROW
27B7;a198;HEAVY BLACK-FEATHERED SOUTH EAST ARROW
27B8;a186;HEAVY BLACK-FEATHERED RIGHTWARDS ARROW
27B9;a195;HEAVY BLACK-FEATHERED NORTH EAST ARROW
27BA;a187;TEARDROP-BARBED RIGHTWARDS ARROW
27BB;a188;HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW
27BC;a189;WEDGE-TAILED RIGHTWARDS ARROW
27BD;a190;HEAVY WEDGE-TAILED RIGHTWARDS ARROW
27BE;a191;OPEN-OUTLINED RIGHTWARDS ARROW
