==== Quarterly finances between 1999-2019 for a non-existent company ====
Generated using a simulation in MATLAB R2019b.
Import using 'readtimetable'.

Net Sales,Cost of Sales,Gross Margin,Research and Development Expenses,Administrative Expenses,Total Operating Expenses,Net Income,Total Shares,Earnings per Share
$36133.37,$18106.16,$18027.21,$4904.85,$1087.67,$5992.52,$12034.69,822,$14.64
$35066.31,$20502.98,$14563.33,$5737.99,$1191.07,$6929.06,$7634.27,1171,$6.52
$46287.65,$21106.91,$25180.75,$5914.33,$1266.5,$7180.82,$17999.92,1145,$15.72
$49444.44,$22515.65,$26928.8,$5713.89,$1368.06,$7081.95,$19846.85,1034,$19.19
$38731.52,$20798.03,$17933.49,$7140.77,$1100.45,$8241.22,$9692.27,900,$10.77
$47207.42,$23433.08,$23774.34,$8292.41,$1047.42,$9339.84,$14434.51,920,$15.69
$54065,$23481.71,$30583.29,$7440.78,$1364.03,$8804.81,$21778.48,1068,$20.39
$55342.56,$25629.14,$29713.42,$8985.01,$1669.31,$10654.32,$19059.11,1339,$14.23
$43605.03,$23947.72,$19657.3,$9761.45,$1147.84,$10909.28,$8748.02,1143,$7.65
$49872.07,$26125.2,$23746.87,$10493.12,$1421.59,$11914.71,$11832.16,1126,$10.51
$60021.07,$25878.29,$34142.78,$10813.74,$1424.47,$12238.21,$21904.56,1157,$18.93
$68713.58,$28700.28,$40013.29,$11067.85,$1785.1,$12852.95,$27160.35,1103,$24.62
$52063.81,$26874.87,$25188.94,$11690.01,$1174.73,$12864.75,$12324.2,1043,$11.82
$54864.45,$29464.77,$25399.68,$11986.85,$1433.48,$13420.34,$11979.35,1417,$8.45
$67420.65,$29089.11,$38331.54,$11425.96,$1425.79,$12851.75,$25479.79,1435,$17.76
$71127.63,$30895.58,$40232.05,$13360.02,$1601.62,$14961.64,$25270.4,1474,$17.14
$60663.5,$29407.7,$31255.8,$13476.41,$1347.39,$14823.8,$16432.01,1286,$12.78
$67809.5,$31780.72,$36028.78,$13168.68,$1456.76,$14625.44,$21403.34,1207,$17.73
$72518.35,$33144.14,$39374.2,$14938.8,$1792.75,$16731.55,$22642.66,1275,$17.76
$74390.93,$34388.84,$40002.09,$14370.69,$1599.47,$15970.15,$24031.93,1347,$17.84
$67632.45,$32904.89,$34727.57,$14078.9,$1234.67,$15313.57,$19413.99,1565,$12.41
$71700.51,$34048.49,$37652.02,$16279.45,$1636.13,$17915.57,$19736.45,1310,$15.07
$76058.99,$35598.95,$40460.04,$15486.43,$1505.64,$16992.06,$23467.97,1635,$14.35
